taxon,class,Channel,Side Slopes,Depth_10cm,Depth_5cm,Depth_1cm,Depth_0_5cm,Depth_0_1cm,Nearshore,North,East,South,Rest of Monitoring Area,Total
MADR,>4cm,"5,099 (3,399-7,502)","808 (415-1,581)","2,599 (1,564-4,487)","2,628 (1,581-4,560)","11,827 (6,950-21,042)","7,944 (4,639-14,211)","19,668 (11,336-35,651)","1,847 (695-4,303)","4,239 (2,668-6,504)","2,642 (1,663-4,054)","1,879 (1,183-2,883)","83,027 (51,943-137,657)","144,207 (89,991-239,091)"
MCAV,<4cm,"10,736 (7,846-14,523)","1,728 (1,275-2,333)","6,531 (5,151-8,223)","6,452 (5,084-8,138)","28,974 (22,726-36,781)","18,961 (14,824-24,199)","50,808 (39,512-64,737)","3,468 (2,146-5,319)","8,424 (5,581-12,218)","5,250 (3,478-7,614)","3,734 (2,474-5,415)","210,482 (166,640-263,077)","355,547 (281,174-445,901)"
MCAV,>4cm,"12,013 (8,880-15,889)","1,738 (1,314-2,277)","6,474 (5,175-8,039)","6,361 (5,077-7,900)","28,397 (22,602-35,398)","18,571 (14,759-23,219)","48,844 (38,716-61,157)","2,903 (1,849-4,339)","8,553 (5,712-12,352)","5,330 (3,559-7,698)","3,790 (2,531-5,474)","208,232 (166,527-257,276)","351,204 (280,541-434,874)"
MEAN,<4cm,"1,262 (867-1,778)",363 (247-516),"1,111 (810-1,493)","1,108 (806-1,495)","5,111 (3,693-6,943)","3,397 (2,444-4,627)","8,872 (6,385-12,110)","897 (542-1,380)","878 (547-1,331)",547 (341-829),389 (243-590),"33,925 (25,019-45,105)","57,859 (42,555-77,036)"
MMEA,>4cm,"1,408 (931-2,049)",177 (115-264),580 (407-809),567 (399-793),"2,508 (1,753-3,522)","1,658 (1,156-2,334)","3,999 (2,793-5,618)",201 (92-375),"833 (482-1,342)",519 (301-836),369 (214-595),"18,325 (12,947-25,305)","31,143 (21,998-43,043)"
MUSS,<4cm,512 (262-919),103 (37-248),341 (157-731),344 (158-738),"1,566 (698-3,439)","1,046 (464-2,303)","2,707 (1,177-6,024)",269 (69-730),460 (222-856),287 (138-534),204 (98-379),"10,820 (5,187-21,947)","18,660 (9,011-37,837)"
MYCE,>4cm,450 (243-760),62 (32-110),205 (119-333),197 (114-321),"874 (505-1,433)",571 (329-936),"1,419 (799-2,357)",54 (12-138),217 (90-420),135 (56-262),96 (40-186),"6,375 (3,735-10,265)","10,656 (6,246-17,092)"
ORBI,<4cm,11 (2-39),2 (0-9),7 (1-24),7 (1-24),33 (7-107),22 (4-72),55 (11-179),5 (1-17),6 (1-22),4 (0-13),3 (0-10),222 (47-722),"378 (81-1,222)"
ORBI,>4cm,183 (121-263),20 (13-31),79 (56-111),78 (55-109),341 (240-480),223 (157-313),571 (401-807),24 (13-44),129 (78-199),80 (49-124),57 (35-88),"2,591 (1,838-3,605)","4,375 (3,108-6,083)"
PCLI,>4cm,35 (5-98),106 (52-193),254 (126-463),260 (128-473),"1,252 (620-2,277)","851 (421-1,550)","2,188 (1,082-3,982)",341 (167-623),18 (0-60),11 (0-37),8 (0-27),"7,172 (3,552-13,000)","12,495 (6,171-22,688)"
PORI,<4cm,"9,096 (6,138-13,252)","1,618 (1,091-2,387)","5,335 (3,879-7,259)","5,424 (3,937-7,396)","24,559 (17,695-33,803)","16,482 (11,831-22,749)","41,900 (30,002-57,789)","4,256 (2,593-6,683)","8,482 (5,375-12,831)","5,286 (3,350-7,996)","3,759 (2,382-5,687)","171,068 (125,996-229,498)","297,266 (218,227-399,310)"
PORI,>4cm,"28,647 (20,406-39,395)","3,211 (2,382-4,297)","12,412 (9,734-15,723)","12,474 (9,758-15,848)","54,984 (42,889-69,984)","36,471 (28,352-46,558)","92,715 (71,989-118,244)","6,298 (3,925-9,527)","25,085 (16,686-36,291)","15,633 (10,398-22,616)","11,117 (7,395-16,084)","413,751 (324,479-524,835)","712,798 (556,740-906,655)"
PSTR,>4cm,394 (224-645),201 (129-303),632 (438-894),620 (427-882),"2,893 (1,981-4,139)","1,894 (1,288-2,734)","5,217 (3,563-7,460)",489 (276-807),148 (61-288),92 (38-179),65 (27-128),"18,928 (13,151-26,603)","31,572 (21,902-44,465)"
SIDE,<4cm,"44,788 (33,189-60,007)","29,181 (19,733-41,448)","80,517 (57,984-109,864)","81,166 (58,160-111,107)","383,226 (272,453-527,875)","257,054 (181,563-355,641)","675,203 (480,574-929,156)","86,386 (55,700-126,741)","32,908 (21,911-47,759)","20,508 (13,655-29,763)","14,585 (9,711-21,166)","2,374,798 (1,735,350-3,201,171)","4,080,322 (2,973,250-5,519,909)"
SIDE,>4cm,"19,824 (14,848-25,904)","4,261 (3,234-5,578)","15,179 (12,168-18,790)","14,897 (11,931-18,476)","67,729 (53,982-84,429)","44,214 (35,205-55,294)","119,937 (94,828-150,047)","8,803 (5,853-12,850)","13,462 (9,156-19,144)","8,389 (5,706-11,931)","5,966 (4,058-8,484)","476,652 (384,859-587,752)","799,312 (645,271-985,923)"
SINT,<4cm,"9,808 (7,068-13,436)","1,632 (1,167-2,263)","5,559 (4,260-7,188)","5,565 (4,248-7,226)","25,075 (19,018-32,816)","16,659 (12,581-21,867)","42,759 (32,363-56,237)","3,610 (2,212-5,611)","7,943 (5,194-11,714)","4,950 (3,237-7,300)","3,520 (2,302-5,192)","177,612 (137,254-227,561)","304,691 (234,483-391,193)"
SINT,>4cm,"19,003 (14,165-25,252)","3,557 (2,623-4,794)","11,918 (9,398-15,107)","11,808 (9,276-15,026)","53,469 (41,631-68,542)","35,314 (27,440-45,414)","91,723 (71,124-117,932)","7,332 (4,635-11,103)","13,489 (9,088-19,369)","8,406 (5,663-12,070)","5,978 (4,027-8,584)","374,652 (297,309-471,857)","636,649 (504,483-804,264)"
SOLE,<4cm,"665 (359-1,136)",188 (104-329),"673 (412-1,084)","670 (410-1,076)","3,078 (1,866-4,996)","2,021 (1,219-3,298)","5,585 (3,349-9,100)",511 (249-956),"614 (305-1,103)",383 (190-687),272 (135-489),"21,230 (13,157-33,562)","35,891 (22,283-56,761)"
SOLE,>4cm,521 (307-833),458 (290-687),"1,283 (870-1,843)","1,286 (867-1,856)","6,087 (4,076-8,836)","4,061 (2,701-5,927)","10,863 (7,302-15,719)","1,349 (806-2,104)",316 (155-561),197 (97-350),140 (69-249),"37,678 (25,850-53,691)","64,238 (43,768-91,930)"
Total,-,"169,430 (151,184-190,810)","50,859 (41,032-63,177)","156,193 (132,693-186,209)","156,424 (132,472-187,163)","722,797 (608,048-871,770)","481,260 (403,226-581,904)","1,261,443 (1,058,834-1,522,141)","132,828 (100,809-173,970)","130,148 (112,518-151,286)","81,108 (70,121-94,281)","57,680 (49,867-67,048)","4,786,192 (4,112,360-5,632,149)","8,186,363 (7,019,661-9,659,369)"
