batch,site,latitude,longitude,subregion,zone,field_habitat,team,transect_num,date,end_depth,acer,apal,dcyl,healthy_diadema,diseased_diadema
2024B,AA1124,26.109669,-80.091848,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,39,N,N,N,N,N
2024B,AA1127,26.100054,-80.100204,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,15,Y,N,N,Y,N
2024B,AA1127,26.100054,-80.100204,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,17,Y,N,N,Y,N
2024B,AA1128,26.099588,-80.098213,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,21,N,N,N,N,N
2024B,AA1128,26.099588,-80.098213,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,20,N,N,N,Y,N
2024B,AA1130,26.088783,-80.102791,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,13,N,N,N,Y,N
2024B,AA1130,26.088783,-80.102791,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,11,N,N,N,Y,N
2024B,AA1132,26.086096,-80.106316,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,17,N,N,N,Y,N
2024B,AA1132,26.086096,-80.106316,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,17,N,N,N,Y,N
2024B,AA1133,26.085127,-80.095299,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,31,N,N,N,N,N
2024B,AA1133,26.085127,-80.095299,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,29,N,N,N,N,N
2024B,AA1134,26.08379,-80.098335,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,28,N,N,N,N,N
2024B,AA1134,26.08379,-80.098335,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,26,N,N,N,N,N
2024B,AA1137,26.076626,-80.107887,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,15,N,N,N,N,N
2024B,AA1137,26.076626,-80.107887,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,15,N,N,N,N,N
2024B,AA1139,26.072102,-80.106422,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,32,N,N,N,N,N
2024B,AA1139,26.072102,-80.106422,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,20,N,N,N,N,N
2024B,AA1141,26.067577,-80.104958,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,14,N,N,N,Y,N
2024B,AA1141,26.067577,-80.104958,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,15,N,N,N,N,N
2024B,AA1149,26.041372,-80.101654,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,26,N,N,N,N,N
2024B,AA1149,26.041372,-80.101654,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,25,N,N,N,N,N
2024B,AA1152,26.028284,-80.102257,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,24,N,N,N,N,N
2024B,AA1152,26.028284,-80.102257,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,24,N,N,N,N,N
2024B,AA1153,26.021967,-80.102806,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,26,Y,N,N,N,N
2024B,AA1153,26.021967,-80.102806,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,26,Y,N,N,N,N
2024B,AA1154,26.013876,-80.10836,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-03T00:00:00Z,19,Y,N,N,N,N
2024B,AA1154,26.013876,-80.10836,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-03T00:00:00Z,16,Y,N,N,N,N
2024B,AA1155,26.012957,-80.105865,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,29,N,N,N,N,N
2024B,AA1155,26.012957,-80.105865,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,25,N,N,N,N,N
2024B,AA1156,26.010221,-80.101395,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,28,N,N,N,N,N
2024B,AA1156,26.010221,-80.101395,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,26,N,N,N,N,N
2024B,AA1157,26.008459,-80.108398,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,22,N,N,N,N,N
2024B,AA1157,26.008459,-80.108398,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,20,N,N,N,N,N
2024B,AA1158,26.005774,-80.112419,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-16T00:00:00Z,20,N,N,N,N,N
2024B,AA1158,26.005774,-80.112419,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-16T00:00:00Z,19,N,N,N,N,N
2024B,AA2097,26.154205,-80.096794,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-25T00:00:00Z,17,Y,N,N,Y,N
2024B,AA2097,26.154205,-80.096794,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-25T00:00:00Z,18,Y,N,N,N,Y
2024B,AA2098,26.152846,-80.098598,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-25T00:00:00Z,17,N,N,N,N,Y
2024B,AA2098,26.152846,-80.098598,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-25T00:00:00Z,15,N,N,N,Y,N
2024B,AA2099,26.144722,-80.096367,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-24T00:00:00Z,25,N,N,N,N,N
2024B,AA2099,26.144722,-80.096367,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-24T00:00:00Z,20,N,N,N,N,N
2024B,AA2100,26.144281,-80.09787,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-24T00:00:00Z,18,Y,N,N,Y,N
2024B,AA2100,26.144281,-80.09787,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-24T00:00:00Z,16,Y,N,N,N,Y
2024B,AA2101,26.142031,-80.098885,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,1,2024-10-24T00:00:00Z,18,Y,N,N,Y,N
2024B,AA2101,26.142031,-80.098885,Broward-Miami,Forereef,Contiguous Reef Other,NOVA Southeastern Univ.,2,2024-10-24T00:00:00Z,17,Y,N,N,N,N
2024B,AA2111,26.109543,-80.101639,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,15,N,N,N,Y,N
2024B,AA2111,26.109543,-80.101639,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,16,N,N,N,Y,N
2024B,AA2112,26.105465,-80.099167,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,19,Y,N,N,Y,N
2024B,AA2112,26.105465,-80.099167,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,16,Y,N,N,Y,N
2024B,AA2115,26.077469,-80.098381,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,26,N,N,N,N,N
2024B,AA2115,26.077469,-80.098381,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,24,N,N,N,N,N
2024B,AA2116,26.077074,-80.107384,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,17,N,N,N,N,N
2024B,AA2116,26.077074,-80.107384,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,18,N,N,N,Y,N
2024B,AA2120,26.069349,-80.099442,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,29,N,N,N,N,N
2024B,AA2120,26.069349,-80.099442,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,29,N,N,N,N,N
2024B,AA3068,26.0954,-80.1012,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,1,2024-09-11T00:00:00Z,16,N,N,N,Y,N
2024B,AA3068,26.0954,-80.1012,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,2,2024-09-11T00:00:00Z,17,N,N,N,Y,N
2024B,AA3069,26.0981,-80.1011,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,13,N,N,N,Y,N
2024B,AA3069,26.0981,-80.1011,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,14,N,N,N,Y,N
2024B,AA3070,26.0982,-80.0988,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,1,2024-09-11T00:00:00Z,19,N,N,N,N,N
2024B,AA3070,26.0982,-80.0988,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,2,2024-09-11T00:00:00Z,20,N,N,N,N,N
2024B,AA3071,26.0954,-80.0957,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,25,N,N,N,N,N
2024B,AA3071,26.0954,-80.0957,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,27,N,N,N,N,N
2024B,AA3074,26.0963,-80.0949,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,27,N,N,N,Y,N
2024B,AA3074,26.0963,-80.0949,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,33,N,N,N,N,N
2024B,AA3075,26.0982,-80.0939,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,37,N,N,N,Y,N
2024B,AA3075,26.0982,-80.0939,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,34,N,N,N,Y,N
2024B,AA3077,26.0911,-80.1032,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-09T00:00:00Z,14,N,N,N,N,N
2024B,AA3077,26.0911,-80.1032,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-09T00:00:00Z,12,N,N,N,Y,N
2024B,AA3080,26.0922,-80.1001,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,23,N,N,N,Y,N
2024B,AA3080,26.0922,-80.1001,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,23,N,N,N,N,N
2024B,AA3081,26.0902,-80.1001,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,23,N,N,N,N,N
2024B,AA3081,26.0902,-80.1001,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,33,N,N,N,N,N
2024B,AA3082,26.092,-80.0962,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,27,N,N,N,N,N
2024B,AA3082,26.092,-80.0962,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,25,N,N,N,N,N
2024B,AA3083,26.0911,-80.0964,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,23,N,N,N,N,N
2024B,AA3083,26.0911,-80.0964,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,23,N,N,N,N,N
2024B,AA3084,26.0902,-80.0966,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,23,N,N,N,N,N
2024B,AA3084,26.0902,-80.0966,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,24,N,N,N,N,N
2024B,AA3085,26.0919,-80.0937,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,39,N,N,N,N,N
2024B,AA3085,26.0919,-80.0937,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,41,N,N,N,N,N
2024B,AA3086,26.0911,-80.094,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,35,N,N,N,Y,N
2024B,AA3086,26.0911,-80.094,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,35,N,N,N,N,N
2024B,AA3087,26.0902,-80.0941,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,35,N,N,N,N,N
2024B,AA3087,26.0902,-80.0941,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,39,N,N,N,N,N
2024B,AA3088,26.0957,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,37,N,N,N,N,N
2024B,AA3088,26.0957,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,39,N,N,N,N,N
2024B,AA3089,26.0966,-80.0913,Broward-Miami,Forereef,Contiguous Reef Spur and Groove,Shedd Aquarium,1,2024-09-10T00:00:00Z,38,N,N,N,N,N
2024B,AA3089,26.0966,-80.0913,Broward-Miami,Forereef,Contiguous Reef Spur and Groove,Shedd Aquarium,2,2024-09-10T00:00:00Z,38,N,N,N,N,N
2024B,AA3090,26.0985,-80.091,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,40,N,N,N,N,N
2024B,AA3090,26.0985,-80.091,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,42,N,N,N,N,N
2024B,AA3091,26.096800000000002,-80.0885,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-10T00:00:00Z,63,N,N,N,N,N
2024B,AA3091,26.096800000000002,-80.0885,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-10T00:00:00Z,65,N,N,N,N,N
2024B,AA3092,26.0918,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,43,N,N,N,N,N
2024B,AA3092,26.0918,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,44,N,N,N,N,N
2024B,AA3093,26.0909,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-12T00:00:00Z,42,N,N,N,N,N
2024B,AA3093,26.0909,-80.0915,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-12T00:00:00Z,45,N,N,N,N,N
2024B,AA3094,26.099233,-80.10165,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,1,2024-09-11T00:00:00Z,15,Y,N,N,Y,N
2024B,AA3094,26.099233,-80.10165,Broward-Miami,Forereef,Contiguous Reef Other,Shedd Aquarium,2,2024-09-11T00:00:00Z,15,Y,N,N,N,N
2024B,AA3096,26.086131,-80.102996,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,1,2024-09-09T00:00:00Z,13,Y,N,N,Y,N
2024B,AA3096,26.086131,-80.102996,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,2,2024-09-09T00:00:00Z,14,Y,N,N,Y,N
2024B,AA3110,26.0985,-80.0959,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,1,2024-09-11T00:00:00Z,30,N,N,N,N,N
2024B,AA3110,26.0985,-80.0959,Broward-Miami,Forereef,Reef Rubble,Shedd Aquarium,2,2024-09-11T00:00:00Z,31,N,N,N,N,N
